pmcid,pmid,canonical_date,canonical_date_precision,canonical_date_type,date_source,recovered_month,recovered_month_source,split_june_2024
PMC9097064,35545792,2022-05-11,day,,pubmed,,,pre
PMC9097146,35550625,2022-05-12,day,,pubmed,,,pre
PMC9097352,35549702,2022-05-12,day,,pubmed,,,pre
PMC9097868,35572149,2022,year,,pubmed,,,pre
PMC9097891,35276041,2022-04-01,day,,pubmed,,,pre
PMC9098960,35572001,2022,year,,pubmed,,,pre
PMC9099260,35572125,2022,year,,pubmed,,,pre
PMC9099371,35572139,2022,year,,pubmed,,,pre
PMC9099670,35563179,2022-04-26,day,,pubmed,,,pre
PMC9099912,35562975,2022-04-21,day,,pubmed,,,pre
PMC9100383,35590793,2022-04-19,day,,pubmed,,,pre
PMC9100702,35571869,2022,year,,pubmed,,,pre
PMC9100918,35563001,2022-04-21,day,,pubmed,,,pre
PMC9101114,35563735,2022-04-22,day,,pubmed,,,pre
PMC9101263,35562955,2022-04-20,day,,pubmed,,,pre
PMC9101264,35563447,2022-05-02,day,,pubmed,,,pre
PMC9101389,35564748,2022-04-28,day,,pubmed,,,pre
PMC9101916,35542999,2022,year,,pubmed,,,pre
PMC9102429,35566132,2022-04-27,day,,pubmed,,,pre
PMC9102515,35563350,2022-04-29,day,,pubmed,,,pre
PMC9102563,35565839,2022-04-29,day,,pubmed,,,pre
PMC9103053,35566750,2022-05-06,day,,pubmed,,,pre
PMC9103297,35562711,2022-05-13,day,,pubmed,,,pre
PMC9103737,35566497,2022-04-23,day,,pubmed,,,pre
PMC9103777,34412935,2022-03,month,,pubmed,,,pre
PMC9103818,35563362,2022-04-29,day,,pubmed,,,pre
PMC9104067,35591026,2022-04-27,day,,pubmed,,,pre
PMC9104163,35563107,2022-04-25,day,,pubmed,,,pre
PMC9104709,35563628,2022-05-07,day,,pubmed,,,pre
PMC9105250,35591158,2022-05-02,day,,pubmed,,,pre
PMC9105445,35565082,2022-05-07,day,,pubmed,,,pre
PMC9105735,35565162,2022-05-09,day,,pubmed,,,pre
PMC9106080,35229449,2022-05,month,,pubmed,,,pre
PMC9106502,35572832,2022,year,,pubmed,,,pre
PMC9106639,35349093,2022-05,month,,pubmed,,,pre
PMC9106820,35061246,2022-05,month,,pubmed,,,pre
PMC9106827,34951704,2022-05,month,,pubmed,,,pre
PMC9106885,35128639,2022-05,month,,pubmed,,,pre
PMC9106903,35285067,2022-06,month,,pubmed,,,pre
PMC9107269,35568889,2022-05-14,day,,pubmed,,,pre
PMC9107404,34787788,2022-06,month,,pubmed,,,pre
PMC9107414,34882275,2022-06,month,,pubmed,,,pre
PMC9107450,35471463,2022-06,month,,pubmed,,,pre
PMC9107455,35568699,2022-05-14,day,,pubmed,,,pre
PMC9107463,35568709,2022-05-14,day,,pubmed,,,pre
PMC9107488,34989980,2022-06,month,,pubmed,,,pre
PMC9107682,35603141,2022,year,,pubmed,,,pre
PMC9107685,35603139,2022,year,,pubmed,,,pre
PMC9107774,35601598,2022,year,,pubmed,,,pre
PMC9107988,34511563,2022-04-15,day,,pubmed,,,pre
PMC9108158,35586480,2022,year,,pubmed,,,pre
PMC9108353,35586051,2022,year,,pubmed,,,pre
PMC9108553,35124654,2022,year,,pubmed,,,pre
PMC9108559,32925068,2022,year,,pubmed,,,pre
PMC9108561,35180122,2022,year,,pubmed,,,pre
PMC9108571,35213382,2022,year,,pubmed,,,pre
PMC9108572,35180116,2022,year,,pubmed,,,pre
PMC9108583,35253754,2022,year,,pubmed,,,pre
PMC9108627,35591949,2022,year,,pubmed,,,pre
PMC9108872,35585924,2022,year,,pubmed,,,pre
PMC9109375,35603140,2022,year,,pubmed,,,pre
PMC9109388,35578181,2022-05-16,day,,pubmed,,,pre
PMC9109818,35585840,2022,year,,pubmed,,,pre
PMC9109940,35412102,2022-05,month,,pubmed,,,pre
PMC9110256,35585902,2022,year,,pubmed,,,pre
PMC9110563,34786815,2022-08,month,,pubmed,,,pre
PMC9110564,34786833,2022-08,month,,pubmed,,,pre
PMC9110693,35592474,2022,year,,pubmed,,,pre
PMC9110794,35592700,2022,year,,pubmed,,,pre
PMC9110834,35592472,2022,year,,pubmed,,,pre
PMC9110876,35633759,2022,year,,pubmed,,,pre
PMC9111730,35285122,2022-07,month,,pubmed,,,pre
PMC9112305,35591952,2022,year,,pubmed,,,pre
PMC9112342,35592641,2022,year,,pubmed,,,pre
PMC9112835,35592256,2022,year,,pubmed,,,pre
PMC9112943,35167933,2022-05,month,,pubmed,,,pre
PMC9113515,35592648,2022,year,,pubmed,,,pre
PMC9113534,35260817,2022-05,month,,pubmed,,,pre
PMC9113734,34664956,2021-11-01,day,,pubmed,,,pre
PMC9113829,34127171,2024-09,month,,pubmed,,,post
PMC9113831,34663484,2022-11,month,,pubmed,,,pre
PMC9113873,35592525,2022,year,,pubmed,,,pre
PMC9114363,35581389,2022-05-17,day,,pubmed,,,pre
PMC9114765,35601623,2022,year,,pubmed,,,pre
PMC9115649,35503518,2022-05-03,day,,pubmed,,,pre
PMC9116128,35037593,2021-10,month,,pubmed,,,pre
PMC9116387,34958028,2022,year,,pubmed,,,pre
PMC9117080,35602645,2022,year,,pubmed,,,pre
PMC9117151,35311707,2022,year,,pubmed,,,pre
PMC9117601,35587826,2022-07,month,,pubmed,,,pre
PMC9118564,35590321,2022-05-19,day,,pubmed,,,pre
PMC9119323,35600079,2022,year,,pubmed,,,pre
PMC9119690,35646501,2022,year,,pubmed,,,pre
PMC9119980,35589711,2022-05-19,day,,pubmed,,,pre
PMC9120074,35589863,2022-05-19,day,,pubmed,,,pre
PMC9120416,35601620,2022,year,,pubmed,,,pre
PMC9120469,35589771,2022-05-19,day,,pubmed,,,pre
PMC9120529,35601611,2022,year,,pubmed,,,pre
PMC9120543,35601622,2022,year,,pubmed,,,pre
PMC9120560,35289025,2022-06-15,day,,pubmed,,,pre
PMC9120706,35535875,2022-11,month,,pubmed,,,pre
PMC9120906,35421284,2022-05,month,,pubmed,,,pre
PMC9121219,35511253,2022-05-05,day,,pubmed,,,pre
PMC9121347,35420782,2022-05-18,day,,pubmed,,,pre
PMC9121549,35590272,2022-05-20,day,,pubmed,,,pre
PMC9122422,35297137,2022-06,month,,pubmed,,,pre
PMC9122972,35595790,2022-05-20,day,,pubmed,,,pre
PMC9123268,35597031,2022,year,,pubmed,,,pre
PMC9123488,35579902,2022-05-02,day,,pubmed,,,pre
PMC9123600,35253765,2022,year,,pubmed,,,pre
PMC9123890,35611306,2022,year,,pubmed,,,pre
PMC9124220,35597814,2022-05-21,day,,pubmed,,,pre
PMC9124312,35366382,2022-05,month,,pubmed,,,pre
PMC9124602,35128731,2022-03,month,,pubmed,,,pre
PMC9124812,35615282,2022,year,,pubmed,,,pre
PMC9125145,35615588,2022,year,,pubmed,,,pre
PMC9125150,35615586,2022,year,,pubmed,,,pre
PMC9125346,35604618,2022-08,month,,pubmed,,,pre
PMC9125779,35483135,2022,year,,pubmed,,,pre
PMC9125857,35606688,2022-05-23,day,,pubmed,,,pre
PMC9125890,35606871,2022-05-23,day,,pubmed,,,pre
PMC9126031,35615585,2022,year,,pubmed,,,pre
PMC9126189,34749554,2023-01,month,,pubmed,,,pre
PMC9126396,35604914,2022,year,,pubmed,,,pre
PMC9126422,35619840,2022-04,month,,pubmed,,,pre
PMC9126470,35621297,2022-04,month,,pubmed,,,pre
PMC9126486,35235294,2022-03-15,day,,pubmed,,,pre
PMC9126574,35649085,2022,year,,pubmed,,,pre
PMC9126779,35605382,2022-07,month,,pubmed,,,pre
PMC9126805,35173266,2022-04,month,,pubmed,,,pre
PMC9127346,35619941,2022,year,,pubmed,,,pre
PMC9127560,35604690,2022-05-02,day,,pubmed,,,pre
PMC9127643,35532966,2022-05-09,day,,pubmed,,,pre
PMC9127659,35620445,2022,year,,pubmed,,,pre
PMC9127729,34856902,2022,year,,pubmed,,,pre
PMC9127824,34636637,2022-01,month,,pubmed,,,pre
PMC9128193,35610630,2022-05-24,day,,pubmed,,,pre
PMC9128232,35610565,2022-05-24,day,,pubmed,,,pre
PMC9128270,35606867,2022-05-23,day,,pubmed,,,pre
PMC9128279,35610700,2022-05-24,day,,pubmed,,,pre
PMC9128374,35620167,2022,year,,pubmed,,,pre
PMC9128811,35352105,2022-05-24,day,,pubmed,,,pre
PMC9129905,35587456,2022-05-20,day,,pubmed,,,pre
PMC9129975,35620408,2022,year,,pubmed,,,pre
PMC9130581,35646776,2022,year,,pubmed,,,pre
PMC9130656,35645968,2022,year,,pubmed,,,pre
PMC9131016,35645768,2022,year,,pubmed,,,pre
PMC9131093,35645771,2022,year,,pubmed,,,pre
PMC9131260,35664060,2022,year,,pubmed,,,pre
PMC9131689,35614479,2022-05-25,day,,pubmed,,,pre
PMC9131718,35645780,2022,year,,pubmed,,,pre
PMC9131930,35634535,2022,year,,pubmed,,,pre
PMC9132142,35377319,2022-05-12,day,,pubmed,,,pre
PMC9132238,35293378,2022-04-01,day,,pubmed,,,pre
PMC9132241,35125399,2022-04-01,day,,pubmed,,,pre
PMC9132242,35293381,2022-04-01,day,,pubmed,,,pre
PMC9132600,35614509,2022-05-26,day,,pubmed,,,pre
PMC9132967,35614075,2022-05-25,day,,pubmed,,,pre
PMC9133023,35183929,2022-06,month,,pubmed,,,pre
PMC9133058,35387509,2022-06,month,,pubmed,,,pre
PMC9133149,35331943,2022-05,month,,pubmed,,,pre
PMC9133665,35645767,2022,year,,pubmed,,,pre
PMC9133720,35646066,2022,year,,pubmed,,,pre
PMC9133788,35645971,2022,year,,pubmed,,,pre
PMC9134703,35619096,2022-05-26,day,,pubmed,,,pre
PMC9134977,35618983,2022-06,month,,pubmed,,,pre
PMC9135964,35634211,2022,year,,pubmed,,,pre
PMC9136081,35645782,2022,year,,pubmed,,,pre
PMC9136264,35647347,2022-05,month,,pubmed,,,pre
PMC9136343,35634356,2022-06-17,day,,pubmed,,,pre
PMC9136525,35620825,2022-05,month,,pubmed,,,pre
PMC9136643,34854996,2022-01,month,,pubmed,,,pre
PMC9136660,33770310,2021-12,month,,pubmed,,,pre
PMC9136677,35616950,2022-07-01,day,,pubmed,,,pre
PMC9138229,35625731,2022-04-25,day,,pubmed,,,pre
PMC9138299,35625782,2022-04-30,day,,pubmed,,,pre
PMC9139341,35624987,2022-05-05,day,,pubmed,,,pre
PMC9139762,35624982,2022-05-03,day,,pubmed,,,pre
PMC9139857,35625013,2022-05-11,day,,pubmed,,,pre
PMC9140080,35626292,2022-05-04,day,,pubmed,,,pre
PMC9140721,35627222,2022-05-07,day,,pubmed,,,pre
PMC9140902,35626415,2022-05-18,day,,pubmed,,,pre
PMC9141032,35628219,2022-05-12,day,,pubmed,,,pre
PMC9141789,35628043,2022-05-13,day,,pubmed,,,pre
PMC9142602,35624290,2022-05-27,day,,pubmed,,,pre
PMC9142883,35629970,2022-05-22,day,,pubmed,,,pre
PMC9142989,35629330,2022-04-29,day,,pubmed,,,pre
PMC9142993,35628202,2022-05-12,day,,pubmed,,,pre
PMC9143671,35629237,2022-05-18,day,,pubmed,,,pre
PMC9143965,35629192,2022-05-10,day,,pubmed,,,pre
PMC9144333,35630029,2022-04-28,day,,pubmed,,,pre
PMC9144469,35628602,2022-05-21,day,,pubmed,,,pre
PMC9144624,35629249,2022-05-19,day,,pubmed,,,pre
PMC9144704,35629879,2022-04-21,day,,pubmed,,,pre
PMC9145115,36281668,2022,year,,pubmed,,,pre
PMC9145212,35632105,2022-05-12,day,,pubmed,,,pre
PMC9145441,35624487,2022-05-28,day,,pubmed,,,pre
PMC9146140,35628296,2022-05-14,day,,pubmed,,,pre
PMC9146371,35630584,2022-05-12,day,,pubmed,,,pre
PMC9146424,35628542,2022-05-20,day,,pubmed,,,pre
PMC9146652,35630670,2022-05-17,day,,pubmed,,,pre
PMC9147832,35630702,2022-05-18,day,,pubmed,,,pre
PMC9148291,35312967,2022-06,month,,pubmed,,,pre
PMC9148293,35347587,2022-06,month,,pubmed,,,pre
PMC9148371,34844537,2022,year,,pubmed,,,pre
PMC9148467,35643439,2022-05-28,day,,pubmed,,,pre
PMC9148517,35643540,2022-05-28,day,,pubmed,,,pre
PMC9148556,35642196,2022,year,,pubmed,,,pre
PMC9148982,35078917,2022-06,month,,pubmed,,,pre
PMC9149027,35001032,2022-04-01,day,,pubmed,,,pre
PMC9149050,35288520,2022-04-01,day,,pubmed,,,pre
PMC9149280,35651346,2022,year,,pubmed,,,pre
PMC9149311,35651352,2022,year,,pubmed,,,pre
PMC9149438,35702161,2022,year,,pubmed,,,pre
PMC9149450,35702344,2022,year,,pubmed,,,pre
PMC9149524,35702343,2022,year,,pubmed,,,pre
PMC9149574,35651528,2022,year,,pubmed,,,pre
PMC9150314,35637434,2022-05-30,day,,pubmed,,,pre
PMC9150564,35651350,2022,year,,pubmed,,,pre
PMC9150711,34114509,2022-07,month,,pubmed,,,pre
PMC9150772,35651819,2022,year,,pubmed,,,pre
PMC9150998,35651921,2022,year,,pubmed,,,pre
PMC9153251,35253760,2022,year,,pubmed,,,pre
PMC9154279,34893841,2022-05-27,day,,pubmed,,,pre
PMC9154738,35669316,2022,year,,pubmed,,,pre
PMC9154787,35634723,2022-12,month,,pubmed,,,pre
PMC9155915,35656471,2022,year,,pubmed,,,pre
PMC9156414,35393555,2022-06,month,,pubmed,,,pre
PMC9156420,35747406,2022-06,month,,pubmed,,,pre
PMC9156559,35320624,2022-06-07,day,,pubmed,,,pre
PMC9156568,35427899,2022-07,month,,pubmed,,,pre
PMC9157262,35639376,2022-05-02,day,,pubmed,,,pre
PMC9157268,35639383,2022-05-02,day,,pubmed,,,pre
PMC9157405,35664890,2022,year,,pubmed,,,pre
PMC9157584,35662833,2022,year,,pubmed,,,pre
PMC9157647,35663584,2022,year,,pubmed,,,pre
PMC9158200,35650520,2022-06-01,day,,pubmed,,,pre
PMC9158343,35641909,2022-05-31,day,,pubmed,,,pre
PMC9158435,35663582,2022,year,,pubmed,,,pre
PMC9158456,34581485,2022-04,month,,pubmed,,,pre
PMC9158475,34340587,2022-01,month,,pubmed,,,pre
PMC9159063,35134935,2022-06-01,day,,pubmed,,,pre
PMC9159505,35219701,2022-04,month,,pubmed,,,pre
PMC9159665,34525197,2022-06-01,day,,pubmed,,,pre
PMC9159769,35650449,2022-06,month,,pubmed,,,pre
PMC9160203,34854530,2022-10,month,,pubmed,,,pre
PMC9160212,34854531,2022-08,month,,pubmed,,,pre
PMC9160364,35665039,2022,year,,pubmed,,,pre
PMC9160455,35470961,2022-07,month,,pubmed,,,pre
PMC9160459,35663575,2022,year,,pubmed,,,pre
PMC9160800,34854549,2022-08,month,,pubmed,,,pre
PMC9160828,35663423,2022,year,,pubmed,,,pre
PMC9161012,35648403,2022-06-01,day,,pubmed,,,pre
PMC9161377,35669941,2022,year,,pubmed,,,pre
PMC9161451,35655140,2022-06-02,day,,pubmed,,,pre
PMC9161692,35663565,2022,year,,pubmed,,,pre
PMC9162045,35444051,2022-05-17,day,,pubmed,,,pre
PMC9162049,35418459,2022-05-17,day,,pubmed,,,pre
PMC9162401,35692987,2022-05,month,,pubmed,,,pre
PMC9163025,35677525,2022-06,month,,pubmed,,,pre
PMC9163356,35655068,2022-06-02,day,,pubmed,,,pre
PMC9163710,35669465,2022,year,,pubmed,,,pre
PMC9163840,35653914,2022,year,,pubmed,,,pre
PMC9164351,35659116,2022-06-03,day,,pubmed,,,pre
PMC9165274,35128565,2022-06,month,,pubmed,,,pre
PMC9165293,35107627,2022-06,month,,pubmed,,,pre
PMC9165372,35662190,2022-12,month,,pubmed,,,pre
PMC9165400,35662191,2022-12,month,,pubmed,,,pre
PMC9165729,35649651,2022-06,month,,pubmed,,,pre
PMC9166339,35658833,2022-06-03,day,,pubmed,,,pre
PMC9166480,35659709,2022-06-03,day,,pubmed,,,pre
PMC9166545,34605858,2022-06-03,day,,pubmed,,,pre
PMC9166561,34664612,2022-06-03,day,,pubmed,,,pre
PMC9166601,35659054,2022-06-04,day,,pubmed,,,pre
PMC9166640,35594063,2022-05-20,day,,pubmed,,,pre
PMC9167250,35100442,2022-05,month,,pubmed,,,pre
PMC9167960,35677873,2022,year,,pubmed,,,pre
PMC9168227,35677201,2022,year,,pubmed,,,pre
PMC9168448,35390460,2022-07-15,day,,pubmed,,,pre
PMC9168648,35677870,2022,year,,pubmed,,,pre
PMC9169494,34776451,2022,year,,pubmed,,,pre
PMC9169561,35367962,2022,year,,pubmed,,,pre
PMC9169643,35380901,2022-04-12,day,,pubmed,,,pre
PMC9169751,35452007,2022-07-01,day,,pubmed,,,pre
PMC9169866,35676941,2022,year,,pubmed,,,pre
PMC9169943,35351783,2022-05-24,day,,pubmed,,,pre
PMC9170254,35719263,2022,year,,pubmed,,,pre
PMC9170257,35719254,2022,year,,pubmed,,,pre
PMC9170260,35719256,2022,year,,pubmed,,,pre
PMC9170265,35719260,2022,year,,pubmed,,,pre
PMC9170479,35698550,2022-06,month,,pubmed,,,pre
PMC9170837,34873816,2022-10,month,,pubmed,,,pre
PMC9170988,35686022,2022,year,,pubmed,,,pre
PMC9171310,35670022,2022-05,month,,pubmed,,,pre
PMC9171327,35686024,2022,year,,pubmed,,,pre
PMC9171374,35685772,2022,year,,pubmed,,,pre
PMC9171501,35686225,2022,year,,pubmed,,,pre
PMC9171726,35192683,2022-02-02,day,,pubmed,,,pre
PMC9171955,35672750,2022-06-07,day,,pubmed,,,pre
PMC9172904,35502669,2022-07,month,,pubmed,,,pre
PMC9173759,35594397,2022-05-24,day,,pubmed,,,pre
PMC9173790,35720657,2022,year,,pubmed,,,pre
PMC9173794,35720658,2022,year,,pubmed,,,pre
PMC9173795,35720650,2022,year,,pubmed,,,pre
PMC9173796,35720659,2022,year,,pubmed,,,pre
PMC9173933,35685134,2022,year,,pubmed,,,pre
PMC9174347,34877794,2022-10,month,,pubmed,,,pre
PMC9174457,35693007,2022,year,,pubmed,,,pre
PMC9174806,35613751,2022-05-24,day,,pubmed,,,pre
PMC9174950,35694256,2022,year,,pubmed,,,pre
PMC9175009,35694441,2022,year,,pubmed,,,pre
PMC9175442,35693668,2022,year,,pubmed,,,pre
PMC9175651,35226898,2022,year,,pubmed,,,pre
PMC9176167,35693016,2022,year,,pubmed,,,pre
PMC9177137,35693335,2022,year,,pubmed,,,pre
PMC9177152,35603421,2022-07-01,day,,pubmed,,,pre
PMC9177229,35693338,2022,year,,pubmed,,,pre
PMC9177569,35212389,2022-06,month,,pubmed,,,pre
PMC9177657,35032183,2022-07,month,,pubmed,,,pre
PMC9177760,35304739,2022-06,month,,pubmed,,,pre
PMC9177825,35431246,2022,year,,pubmed,,,pre
PMC9177893,34882963,2022-09,month,,pubmed,,,pre
PMC9178163,35445560,2022-06,month,,pubmed,,,pre
PMC9178195,35693340,2022,year,,pubmed,,,pre
PMC9178199,35694402,2022,year,,pubmed,,,pre
PMC9178744,35452806,2022-08-01,day,,pubmed,,,pre
PMC9178858,35676734,2022-06-09,day,,pubmed,,,pre
PMC9179874,35681440,2022-05-25,day,,pubmed,,,pre
PMC9180175,35682168,2022-05-28,day,,pubmed,,,pre
PMC9180340,35682599,2022-05-25,day,,pubmed,,,pre
PMC9180693,35681503,2022-05-31,day,,pubmed,,,pre
PMC9180839,35682049,2022-05-26,day,,pubmed,,,pre
PMC9181175,35659077,2022-06,month,,pubmed,,,pre
PMC9181322,35682902,2022-06-02,day,,pubmed,,,pre
PMC9181385,35682758,2022-05-28,day,,pubmed,,,pre
PMC9181591,35682821,2022-05-30,day,,pubmed,,,pre
PMC9181703,35682914,2022-06-02,day,,pubmed,,,pre
PMC9183018,35684587,2022-05-24,day,,pubmed,,,pre
PMC9184222,35692575,2022,year,,pubmed,,,pre
PMC9184258,35711612,2022-06,month,,pubmed,,,pre
PMC9184400,35449421,2022-07,month,,pubmed,,,pre
PMC9185179,35679046,2022-06-01,day,,pubmed,,,pre
PMC9185328,35684871,2022-06-02,day,,pubmed,,,pre
PMC9185381,35702732,2022,year,,pubmed,,,pre
PMC9185390,35680268,2022-06-09,day,,pubmed,,,pre
PMC9186146,35582924,2022-06,month,,pubmed,,,pre
PMC9186769,35604830,2022-05-23,day,,pubmed,,,pre
PMC9186776,35585026,2022-05-18,day,,pubmed,,,pre
PMC9187423,35694072,2022-04,month,,pubmed,,,pre
PMC9187556,35352314,2022-04,month,,pubmed,,,pre
PMC9187591,35099335,2022-04-16,day,,pubmed,,,pre
PMC9187621,35688927,2022-06-10,day,,pubmed,,,pre
PMC9188172,35689187,2022-06-10,day,,pubmed,,,pre
PMC9188507,35061102,2022-06,month,,pubmed,,,pre
PMC9188974,35388950,2022-07,month,,pubmed,,,pre
PMC9189313,35707521,2022,year,,pubmed,,,pre
PMC9189381,35707699,2022,year,,pubmed,,,pre
PMC9189734,35114921,2022,year,,pubmed,,,pre
PMC9189735,35088670,2022,year,,pubmed,,,pre
PMC9189840,35688592,2022-06-10,day,,pubmed,,,pre
PMC9189901,33439369,2021-10,month,,pubmed,,,pre
PMC9190141,35698175,2022-06-13,day,,pubmed,,,pre
PMC9190461,35698099,2022-06-13,day,,pubmed,,,pre
PMC9190953,35707703,2022,year,,pubmed,,,pre
PMC9191379,35049196,2021-12-03,day,,pubmed,,,pre
PMC9191555,35049207,2021-12-03,day,,pubmed,,,pre
PMC9191685,35711336,2022,year,,pubmed,,,pre
PMC9192179,35707770,2022-06,month,,pubmed,,,pre
PMC9193853,35711243,2022-12,month,,pubmed,,,pre
PMC9194753,35696185,2022-08-01,day,,pubmed,,,pre
PMC9194858,35711735,2022,year,,pubmed,,,pre
PMC9194949,35690396,2022-06,month,,pubmed,,,pre
PMC9195128,35466939,2022,year,,pubmed,,,pre
PMC9195482,35698162,2022-06-13,day,,pubmed,,,pre
PMC9196031,35711589,2022,year,,pubmed,,,pre
PMC9196277,35711676,2022,year,,pubmed,,,pre
PMC9196957,35756598,2022,year,,pubmed,,,pre
PMC9197049,35700220,2022,year,,pubmed,,,pre
PMC9197119,35712288,2022,year,,pubmed,,,pre
PMC9197398,35537095,2022-06,month,,pubmed,,,pre
PMC9197405,35567427,2022-06,month,,pubmed,,,pre
PMC9198090,35701481,2022-06-14,day,,pubmed,,,pre
PMC9198106,34908231,2022-10,month,,pubmed,,,pre
PMC9198704,35701047,2022-06-14,day,,pubmed,,,pre
PMC9198724,35466936,2022,year,,pubmed,,,pre
PMC9198726,35275559,2022,year,,pubmed,,,pre
PMC9198733,35431248,2022,year,,pubmed,,,pre
PMC9198746,35275549,2022,year,,pubmed,,,pre
PMC9198749,35311705,2022,year,,pubmed,,,pre
PMC9198751,34842183,2022,year,,pubmed,,,pre
PMC9198753,35342087,2022,year,,pubmed,,,pre
PMC9198759,35491780,2022,year,,pubmed,,,pre
PMC9198760,35275541,2022,year,,pubmed,,,pre
PMC9198762,35275540,2022,year,,pubmed,,,pre
PMC9198766,35466937,2022,year,,pubmed,,,pre
PMC9198785,35719713,2022,year,,pubmed,,,pre
PMC9198803,35342092,2022,year,,pubmed,,,pre
PMC9198804,35491774,2022,year,,pubmed,,,pre
PMC9198805,35719710,2022,year,,pubmed,,,pre
PMC9199429,34410177,2022-05,month,,pubmed,,,pre
PMC9199485,35331866,2022-07-01,day,,pubmed,,,pre
PMC9199559,34525932,2022,year,,pubmed,,,pre
PMC9199857,35721019,2022,year,,pubmed,,,pre
PMC9199971,33250472,2022-03-01,day,,pubmed,,,pre
PMC9200677,34652483,2022-06,month,,pubmed,,,pre
PMC9200845,35705650,2022-06-15,day,,pubmed,,,pre
PMC9200901,35177243,2022-07-01,day,,pubmed,,,pre
PMC9200977,35705601,2022-06-15,day,,pubmed,,,pre
PMC9201320,35719705,2022,year,,pubmed,,,pre
PMC9201435,35719147,2022,year,,pubmed,,,pre
PMC9201448,35721012,2022,year,,pubmed,,,pre
PMC9201679,35704317,2022-06-01,day,,pubmed,,,pre
PMC9201920,35720333,2022,year,,pubmed,,,pre
PMC9202170,35710453,2022-06-16,day,,pubmed,,,pre
PMC9202850,35709193,2022,year,,pubmed,,,pre
PMC9203516,35710549,2022-06-16,day,,pubmed,,,pre
PMC9203627,35719134,2022-06,month,,pubmed,,,pre
PMC9204250,35719690,2022,year,,pubmed,,,pre
PMC9204288,35720439,2022,year,,pubmed,,,pre
PMC9204445,35705339,2022-06-15,day,,pubmed,,,pre
PMC9204579,35653168,2022-06-02,day,,pubmed,,,pre
PMC9204609,34080234,2021-12,month,,pubmed,,,pre
PMC9204642,35722616,2022,year,,pubmed,,,pre
PMC9204764,35609278,2022-06-15,day,,pubmed,,,pre
PMC9204954,35715821,2022-06-17,day,,pubmed,,,pre
PMC9205057,35715872,2022-06-17,day,,pubmed,,,pre
PMC9205193,35720713,2022,year,,pubmed,,,pre
PMC9206048,35306613,2022-06,month,,pubmed,,,pre
PMC9207351,35709556,2022,year,,pubmed,,,pre
PMC9207555,35734582,2022,year,,pubmed,,,pre
PMC9207915,35710242,2022-06-16,day,,pubmed,,,pre
PMC9207932,35734757,2022,year,,pubmed,,,pre
PMC9208182,35725546,2022-06-20,day,,pubmed,,,pre
PMC9208401,35733944,2022-04,month,,pubmed,,,pre
PMC9208654,35733862,2022,year,,pubmed,,,pre
PMC9208719,35227946,2022-04,month,,pubmed,,,pre
PMC9209452,35725739,2022-06-20,day,,pubmed,,,pre
PMC9209493,35759330,2022,year,,pubmed,,,pre
PMC9209498,35725910,2022-06-20,day,,pubmed,,,pre
PMC9209729,35747206,2022,year,,pubmed,,,pre
PMC9210291,34958036,2022,year,,pubmed,,,pre
PMC9210327,35068452,2022,year,,pubmed,,,pre
PMC9211026,35747446,2022,year,,pubmed,,,pre
PMC9211045,35747447,2022,year,,pubmed,,,pre
PMC9211063,35769873,2022,year,,pubmed,,,pre
PMC9212187,35727837,2022,year,,pubmed,,,pre
PMC9212197,35729211,2022-06-21,day,,pubmed,,,pre
PMC9213169,35746960,2022,year,,pubmed,,,pre
PMC9213280,35244829,2022-07,month,,pubmed,,,pre
PMC9213384,35461471,2022-07,month,,pubmed,,,pre
PMC9213506,35729174,2022-06-21,day,,pubmed,,,pre
PMC9213584,35445885,2022-06,month,,pubmed,,,pre
PMC9213595,35420334,2022-06,month,,pubmed,,,pre
PMC9213601,34940948,2022-06,month,,pubmed,,,pre
PMC9213612,35288843,2022-06,month,,pubmed,,,pre
PMC9213626,35486344,2022-06,month,,pubmed,,,pre
PMC9214369,35725247,2022-06-20,day,,pubmed,,,pre
PMC9214387,35728906,2022-06-21,day,,pubmed,,,pre
PMC9214975,35733108,2022-06-22,day,,pubmed,,,pre
PMC9214979,35733219,2022-06-22,day,,pubmed,,,pre
PMC9216285,35733122,2022-06-22,day,,pubmed,,,pre
PMC9216360,35246952,2022-06,month,,pubmed,,,pre
PMC9217132,35616532,2022-05-26,day,,pubmed,,,pre
PMC9217820,35103843,2022-07,month,,pubmed,,,pre
PMC9217863,35581440,2022-07,month,,pubmed,,,pre
PMC9217879,35061089,2022-07,month,,pubmed,,,pre
PMC9217953,35732622,2022-06-22,day,,pubmed,,,pre
PMC9218858,35756938,2022,year,,pubmed,,,pre
PMC9219197,35739591,2022-06-23,day,,pubmed,,,pre
PMC9219215,35733193,2022-06-22,day,,pubmed,,,pre
PMC9219251,35739575,2022-06-23,day,,pubmed,,,pre
PMC9219646,35740400,2022-06-10,day,,pubmed,,,pre
PMC9219769,35740258,2022-05-26,day,,pubmed,,,pre
PMC9220959,35741606,2022-05-31,day,,pubmed,,,pre
PMC9221083,35741576,2022-05-25,day,,pubmed,,,pre
PMC9221254,35741010,2022-06-09,day,,pubmed,,,pre
PMC9221291,35741577,2022-05-26,day,,pubmed,,,pre
PMC9222372,33984181,2021-12,month,,pubmed,,,pre
PMC9222420,35741796,2022-06-09,day,,pubmed,,,pre
